# x	y	u	v	flags	mask
1.4100e+02	1.2500e+02	-2.4105e-01	3.1106e-01	0.0000e+00	0.0000e+00
1.8300e+02	1.2500e+02	-5.6127e-01	3.0153e-01	0.0000e+00	0.0000e+00
2.2500e+02	1.2500e+02	-6.6538e-01	4.6730e-01	0.0000e+00	0.0000e+00
2.6700e+02	1.2500e+02	-6.3540e-01	7.2332e-01	0.0000e+00	0.0000e+00
3.0900e+02	1.2500e+02	-6.0437e-01	8.2802e-01	0.0000e+00	0.0000e+00
3.5100e+02	1.2500e+02	-6.0743e-01	7.0025e-01	0.0000e+00	0.0000e+00
3.9300e+02	1.2500e+02	-6.8024e-01	6.4976e-01	0.0000e+00	0.0000e+00
5.7000e+01	8.3000e+01	3.8216e-01	3.0322e-01	0.0000e+00	0.0000e+00
9.9000e+01	8.3000e+01	-3.0709e-01	4.0226e-01	0.0000e+00	0.0000e+00
1.4100e+02	8.3000e+01	-3.4033e-01	5.5530e-01	0.0000e+00	0.0000e+00
1.8300e+02	8.3000e+01	-5.7345e-01	6.7159e-01	0.0000e+00	0.0000e+00
2.2500e+02	8.3000e+01	-6.6956e-01	7.4617e-01	0.0000e+00	0.0000e+00
2.6700e+02	8.3000e+01	-5.7923e-01	7.6516e-01	0.0000e+00	0.0000e+00
3.0900e+02	8.3000e+01	-6.3587e-01	6.2468e-01	0.0000e+00	0.0000e+00
3.5100e+02	8.3000e+01	-4.6658e-01	5.1019e-01	0.0000e+00	0.0000e+00
3.9300e+02	8.3000e+01	-2.8766e-01	4.2386e-01	0.0000e+00	0.0000e+00
5.7000e+01	4.1000e+01	-2.7484e-01	1.8246e-01	0.0000e+00	0.0000e+00
9.9000e+01	4.1000e+01	-6.1242e-01	6.7910e-01	0.0000e+00	0.0000e+00
1.4100e+02	4.1000e+01	-5.9376e-01	6.9701e-01	0.0000e+00	0.0000e+00
1.8300e+02	4.1000e+01	-5.9266e-01	5.7776e-01	0.0000e+00	0.0000e+00
2.2500e+02	4.1000e+01	-7.4467e-01	3.8455e-01	0.0000e+00	0.0000e+00
2.6700e+02	4.1000e+01	-7.2254e-01	8.2881e-01	0.0000e+00	0.0000e+00
3.0900e+02	4.1000e+01	-4.7262e-01	5.4726e-01	0.0000e+00	0.0000e+00
3.5100e+02	4.1000e+01	-1.7509e-01	4.8995e-01	0.0000e+00	0.0000e+00
3.9300e+02	4.1000e+01	-6.3353e-02	4.0286e-01	0.0000e+00	0.0000e+00
